"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"File","Rename","F2","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Task","New Local Task","Insert","In Tasks View"
"Text Editing","Begin Line","Shift+Ctrl+A","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Undo+","Ctrl+X U","Editing Text"
"gazonk.del","Cut","Ctrl+W","In Console View"
"Text Editing","Recenter Other Window","Alt+Insert","Editing Text"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Text Editing","Pop Tag Mark","Esc *","Editing Text"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Text Editing","Universal Argument","Alt+-","Editing Text"
"Text Editing","Kbd Macro Cycle Ring Next","Ctrl+X Ctrl+K Ctrl+N","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Point to Register","Ctrl+X /","Editing Text"
"File","Close","Ctrl+X K","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+7","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Text Editing","Kbd Macro Start","Ctrl+X (","In Windows"
